Run Order,Run Date,Location,Name,Location ,Broad Location,Group,Year,Number,C13,O18,Li(7)/Ca,Na(23)/Ca,Mg(24)/Ca,Mn(55)/Ca,Fe(57)/Ca,Cu(63)/Ca,Cu(65)/Ca,Zn(66)/Ca,Zn(68)/Ca,Sr(88)/Ca,Ag(107)/Ca,Cd(111)/Ca,Ba(137)/Ca,Pb(208)/Ca
41,43124,Naragansett,125,11,SNE,2,2016,91,,,1.27725E-06,0.012457138,#VALUE!,1.38371E-05,#VALUE!,7.91252E-05,6.55721E-05,-0.000359863,-0.000310899,0.007811216,3.41118E-07,#VALUE!,#VALUE!,#VALUE!
58,43124,Naragansett,126,11,SNE,2,2016,92,-2.7,31.6,1.49182E-06,0.013104865,0.000148968,1.90771E-05,#VALUE!,8.1827E-05,6.77928E-05,-0.000351551,-0.000304677,0.007534982,5.6331E-07,#VALUE!,#VALUE!,#VALUE!
45,43124,Naragansett,127,11,SNE,2,2016,93,-2.3,31.7,2.17848E-06,0.010725766,0.000760043,3.64092E-05,#VALUE!,7.46342E-05,6.13942E-05,-0.000342902,-0.000296387,0.006345936,8.44383E-07,#VALUE!,#VALUE!,#VALUE!
43,43124,Naragansett,128,11,SNE,2,2016,94,,,1.6653E-06,0.013243357,#VALUE!,1.15701E-05,#VALUE!,7.31347E-05,6.06941E-05,-0.000321324,-0.000277728,0.007249731,7.49917E-07,#VALUE!,#VALUE!,#VALUE!
42,43124,Naragansett,129,11,SNE,2,2016,95,-3.1,31.6,1.58274E-06,0.013122895,0.00014555,1.4103E-05,#VALUE!,7.52858E-05,6.21951E-05,-0.000331101,-0.000286102,0.007577883,3.73317E-07,#VALUE!,#VALUE!,#VALUE!
71,43124,Menemsha,118,10,SNE,2,2016,96,-2.9,32.3,1.50685E-06,0.012639709,#VALUE!,1.19288E-05,#VALUE!,8.23199E-05,6.78003E-05,-0.000358398,-0.000310516,0.007677977,4.23926E-07,#VALUE!,#VALUE!,#VALUE!
64,43124,Menemsha,119,10,SNE,2,2016,99,-3.1,32.6,1.69857E-06,0.013775804,#VALUE!,6.91994E-06,#VALUE!,7.41065E-05,6.10287E-05,-0.000317827,-0.000274688,0.006692121,3.21947E-07,#VALUE!,#VALUE!,#VALUE!
50,43124,Menemsha,120,10,SNE,2,2016,102,-2.5,32.6,1.42738E-06,0.013629787,#VALUE!,7.78478E-06,#VALUE!,8.41808E-05,6.92067E-05,-0.000386936,#VALUE!,0.007443985,3.73109E-07,#VALUE!,#VALUE!,#VALUE!
56,43124,Menemsha,121,10,SNE,2,2016,103,,,1.43635E-06,0.012651856,#VALUE!,7.36141E-06,1.0839E-05,7.10442E-05,5.85583E-05,-0.000313926,-0.00027133,0.006734817,2.71952E-07,#VALUE!,#VALUE!,#VALUE!
75,43124,Menemsha,122,10,SNE,2,2016,108,-2.4,30.5,1.8782E-06,0.012449362,0.000141945,1.0361E-05,#VALUE!,7.50201E-05,6.14398E-05,-0.000327059,-0.000283017,0.006865766,5.46388E-07,#VALUE!,#VALUE!,#VALUE!
